date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:41:14	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2017%20Nov%202020%2019:11:12%20GMT	https://exponentwptheme.com/robots.txt		(from )
00:41:15	275231/275231	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Nov%202020%2019:11:13%20GMT	https://exponentwptheme.com/finance/	C:/My%20Web%20Sites/Assignment/exponentwptheme.com/finance/index.html	(from )
00:41:16	5014/5014	---M-Z	200	added ('OK')	application/javascript	etag:%227f65292d12ac1e1345883bbc03757a23%22	https://exponentwptheme.com/cdn-cgi/apps/head/QnsYqqvjyh0MKdHz8gTjGt2dv0k.js	C:/My%20Web%20Sites/Assignment/exponentwptheme.com/cdn-cgi/apps/head/QnsYqqvjyh0MKdHz8gTjGt2dv0k.js	(from https://exponentwptheme.com/finance/)
00:41:16	41045/41045	---MCZ	200	added ('OK')	text/css	etag:W/%225ee100b8-a055%22	https://exponentwptheme.com/finance/wp-includes/css/dist/block-library/style.min.css?ver=5.3.4	C:/My%20Web%20Sites/Assignment/exponentwptheme.com/finance/wp-includes/css/dist/block-library/style.min03ec.css	(from https://exponentwptheme.com/finance/)
00:41:17	42230/42230	---MCZ	200	added ('OK')	text/css	etag:W/%225dd0088a-a4f6%22	https://qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/plugins/be-grid/css/be-grid.min.css?ver=1.2.4	C:/My%20Web%20Sites/Assignment/qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/plugins/be-grid/css/be-grid.min9030.css	(from https://exponentwptheme.com/finance/)
00:41:17	232029/232029	---MCZ	200	added ('OK')	application/rss+xml	date:Tue,%2031%20Dec%202019%2013:02:41%20GMT	https://exponentwptheme.com/finance/feed/	C:/My%20Web%20Sites/Assignment/exponentwptheme.com/finance/feed/index.html	(from https://exponentwptheme.com/finance/)
00:41:17	12351/12351	---MCZ	200	added ('OK')	application/rss+xml	date:Fri,%2017%20Aug%202018%2007:46:42%20GMT	https://exponentwptheme.com/finance/comments/feed/	C:/My%20Web%20Sites/Assignment/exponentwptheme.com/finance/comments/feed/index.html	(from https://exponentwptheme.com/finance/)
00:41:17	1411/1411	---MCZ	200	added ('OK')	text/css	etag:W/%225dd0097b-695%22	https://exponentwptheme.com/finance/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.5	C:/My%20Web%20Sites/Assignment/exponentwptheme.com/finance/wp-content/plugins/contact-form-7/includes/css/stylesc6ac.css	(from https://exponentwptheme.com/finance/)
00:41:18	147233/147233	---MCZ	200	added ('OK')	text/css	etag:W/%225dd008fb-23f21%22	https://qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/plugins/tatsu/public/css/tatsu.min.css?ver=3.1.6	C:/My%20Web%20Sites/Assignment/qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/plugins/tatsu/public/css/tatsu.min005e.css	(from https://exponentwptheme.com/finance/)
00:41:19	27563/27563	---MCZ	200	added ('OK')	text/css	etag:W/%225dd0089b-6bab%22	https://qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/plugins/exponent-modules/public/css/exponent-modules.min.css?ver=2.1	C:/My%20Web%20Sites/Assignment/qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/plugins/exponent-modules/public/css/exponent-modules.min53cf.css	(from https://exponentwptheme.com/finance/)
